Sentence,Status
நீங்கள் அரங்கில் படிக்கிறீர்கள்., No Error
அவன் பூங்காவில் பாடுகிறார். No Error
நீங்கள் வீட்டில் எழுதுகிறீர்கள். No Error
அவள் நகரத்தில் கடந்து போகிறாள். No Error
நாங்கள் நகரத்தில் படிக்கிறோம். No Error
நான் வீட்டில் படிக்கிறேன். No Error
அவன் நகரத்தில் பாடுகிறார். No Error
அவன் பூங்காவில் செல்கிறான். No Error
நீங்கள் அரங்கில் எழுதுகிறீர்கள். No Error
நான் பூங்காவில் பாடுகிறேன். No Error
நாங்கள் பள்ளியில் கடந்து போகிறோம். No Error
நாங்கள் அரங்கில் படிக்கிறோம். No Error
அவர்கள் நகரத்தில் செல்கிறார்கள். No Error
அவர்கள் நகரத்தில் பாடுகிறார்கள். No Error
அவர்கள் பள்ளியில் படிக்கிறார்கள். No Error
அவள் பள்ளியில் படிக்கிறாள். No Error
நான் அரங்கில் கடந்து போகிறேன். No Error
அவள் வீட்டில் வந்தாள். No Error
அவன் வீட்டில் கடந்து போகிறான். No Error
நான் பள்ளியில் செல்கிறேன். No Error
அவர்கள் வீட்டில் படிக்கிறார்கள். No Error
நான் பூங்காவில் கடந்து போகிறேன். No Error
நீங்கள் அரங்கில் வந்தீர்கள். No Error
நான் அரங்கில் வந்தேன். No Error
அவர்கள் கேட்ஜில் எழுதுகிறார்கள். No Error
நாங்கள் வீட்டில் செல்கிறோம். No Error
அவர்கள் பூங்காவில் வந்தார்கள். No Error
அவள் பூங்காவில் எழுதுகிறாள். No Error
அவள் கேட்ஜில் செல்கிறாள். No Error
நீங்கள் கேட்ஜில் வந்தீர்கள். No Error
அவர்கள் அரங்கில் பாடுகிறார்கள். No Error
நீங்கள் பள்ளியில் எழுதுகிறீர்கள். No Error
நீங்கள் வீட்டில் வந்தீர்கள். No Error
அவள் நகரத்தில் செல்கிறாள். No Error
நாங்கள் பூங்காவில் செல்கிறோம். No Error
நான் கேட்ஜில் படிக்கிறேன். No Error
அவர்கள் கேட்ஜில் செல்கிறார்கள். No Error
அவர்கள் அரங்கில் வந்தார்கள். No Error
அவன் அரங்கில் வந்தான். No Error
நாங்கள் பள்ளியில் எழுதுகிறோம். No Error
நீங்கள் கேட்ஜில் கடந்து போகிறீர்கள். No Error
அவர்கள் அரங்கில் செல்கிறார்கள். No Error
நாங்கள் நகரத்தில் படிக்கிறோம். No Error
அவர்கள் பூங்காவில் கடந்து போகிறார்கள். No Error
நான் நகரத்தில் படிக்கிறேன். No Error
நாங்கள் பூங்காவில் படிக்கிறோம். No Error
அவள் நகரத்தில் படிக்கிறாள். No Error
நாங்கள் பள்ளியில் பாடுகிறோம். No Error
நீங்கள் பள்ளியில் எழுதுகிறீர்கள். No Error
நான் வீட்டில் எழுதுகிறேன். No Error
நான் நகரத்தில் கடந்து போகிறேன், No Error
நீங்கள் பூங்காவில் வந்தீர்கள், No Error
நான் அரங்கில் பாடுகிறேன், No Error
நாங்கள் வீட்டில் பாடுகிறோம், No Error
நீங்கள் பூங்காவில் வந்தீர்கள், No Error
நான் அரங்கில் வந்தேன், No Error
அவன் பள்ளியில் எழுதுகிறான், No Error
அவர்கள் நகரத்தில் பாடுகிறார்கள், No Error
நான் வீட்டில் கடந்து போகிறேன், No Error
அவள் பூங்காவில் எழுதுகிறாள், No Error
அவள் நகரத்தில் செல்கிறாள், No Error
அவள் நகரத்தில் பாடுகிறாள், No Error
அவள் அரங்கில் படிக்கிறாள், No Error
நான் கேட்ஜில் படிக்கிறேன், No Error
நாங்கள் வீட்டில் வந்தோம், No Error
அவர்கள் நகரத்தில் படிக்கிறார்கள், No Error
நீங்கள் பூங்காவில் பாடுகிறீர்கள், No Error
